question,ground_truth,question_type,difficulty,expected_strategy,source_node_ids,metadata
生汆丸子汤的制作步骤是什么？,"生汆丸子汤的制作步骤如下：
第1步（步骤1）：肉改刀切开，肥瘦三七分，上刀剁一剁，用刀背砸一砸，把肉筋打开打松疏，继续剁成肉末。
第2步（步骤2）：每斤肉加6克盐、1克胡椒粉，上手抓匀；葱姜花椒水分次加入，边加边搅，让肉吸饱水（每斤肉末80克葱姜花椒水）；加入鸡蛋清顺一个方向搅；再加入40克土豆淀粉搅匀；最后加熟豆油保持嫩滑弹。
第3步（步骤3）：起锅烧水，烧开后改小火至似开非开状态，用手挤丸子下锅，待全部漂起后用小火再煮1分钟。
第4步（步骤4）：粉丝放碗底，加入木耳、黄花、小香葱，并用盐、胡椒粉、鸡粉打底调味；将连汤带丸子冲入碗中，淋3-5滴香油，最后加一小颗香菜即可。",step_by_step,medium,hybrid_traditional,201003707,"{""generated_by"": ""graph_based"", ""step_count"": 4}"
巴基斯坦牛肉咖喱的制作步骤是什么？,"巴基斯坦牛肉咖喱的制作步骤如下：
第1步（步骤1）：全部螺丝椒切成段状，备用
第2步（步骤2）：全部番茄打成番茄蓉，备用
第3步（步骤3）：牛肉切成2cm的小块，洗净备用
第4步（步骤4）：炒锅中倒入一层油（用来防止番茄蓉沸腾蒸发）
第5步（步骤5）：倒入番茄蓉，持续搅拌2-3分钟，等待它越变越红
第6步（步骤6）：加入5g蒜粉、5g姜粉和1包50g的Masala粉，搅拌均匀
第7步（步骤7）：加入牛肉和螺丝椒段，搅拌均匀
第8步（步骤8）：加入1盒酸奶（为了让整个酱汁变得粘稠），搅拌均匀
第9步（步骤9）：将整锅材料转移到电饭煲/电炖锅，并加入250 ml的水，开启炖肉/慢炖档，设定时间2-3个小时
第10步（步骤10）：等待完成，开锅检查牛肉软糯，就可以吃了",step_by_step,medium,hybrid_traditional,201002555,"{""generated_by"": ""graph_based"", ""step_count"": 10}"
姜和香菜常常一起出现在哪些菜里？,姜和香菜常常一起出现在这些菜中：红烧鱼、红烧鱼头、糖醋鲤鱼、葱油、口水鸡、无骨鸡爪、水煮牛肉、老式锅包肉。,multi_hop,hard,graph_rag,201000073;201000100;201000290;201000815;201002255;201002673;201002797;201003076,"{""generated_by"": ""graph_based"", ""ingredient_pair"": [""姜"", ""香菜""], ""recipe_count"": 8}"
请问茭白炒肉的原料有哪些？,制作茭白炒肉需要以下主要食材：料酒、盐、食用油、淀粉、瘦肉、茭白、姜、鸡精、蒜。,entity_relation,medium,hybrid_traditional,201003121,"{""generated_by"": ""graph_based"", ""ingredient_count"": 9}"
金枪鱼酱三明治的烹饪时间是多久？,金枪鱼酱三明治的烹饪时间是约3分钟。,attribute_query,easy,hybrid_traditional,201000718,"{""generated_by"": ""graph_based"", ""attribute"": ""cook_time""}"
小米粥需要哪些主要食材？,制作小米粥需要以下主要食材：小米、水。,entity_relation,medium,hybrid_traditional,201003700,"{""generated_by"": ""graph_based"", ""ingredient_count"": 2}"
制作蒜蓉空心菜需要准备什么食材？,制作蒜蓉空心菜需要以下主要食材：空心菜、盐、食用油、白糖、大蒜、生抽。,entity_relation,medium,hybrid_traditional,201005596,"{""generated_by"": ""graph_based"", ""ingredient_count"": 6}"
生汆丸子汤需要哪些主要食材？,制作生汆丸子汤需要以下主要食材：胡椒粉、黄花、前腿肉、香菜、香油、葱姜花椒水、小香葱、鸡蛋清、熟豆油、鸡粉、粉丝、盐、木耳、土豆淀粉。,entity_relation,medium,hybrid_traditional,201003707,"{""generated_by"": ""graph_based"", ""ingredient_count"": 14}"
素炒豆角的制作步骤是什么？,"素炒豆角的制作步骤如下：
第1步（步骤1）：葱切花，蒜切沫，备用。
第2步（步骤2）：生抽、老抽、耗油、盐混合调料汁，备用。
第3步（步骤3）：小米椒切圈，备用。
第4步（步骤4）：豆角去筋，45°斜切4-10cm小段，备用。
第5步（步骤5）：起锅烧油(10ml-15ml)，冒烟后放入葱、小米椒，翻炒至闻到香味。
第6步（步骤6）：加入豆角，翻炒30秒。
第7步（步骤7）：加入料汁，开大火翻炒2分钟。
第8步（步骤8）：倒入150ml水，转中小火，盖上锅盖焖制8-10分钟。
第9步（步骤9）：加入蒜切沫，出锅。",step_by_step,medium,hybrid_traditional,201005031,"{""generated_by"": ""graph_based"", ""step_count"": 9}"
为什么红烧鲤鱼要加入五花肉？,加入五花肉可以增加菜肴的油脂和肉香，使鱼肉更加鲜嫩多汁。五花肉在煸炒过程中释放的油脂能提升整体口感，同时与鱼肉的鲜味相互融合，丰富层次感。此外，五花肉中的脂肪有助于调味料的渗透，使红烧鲤鱼更入味。,causal,hard,hybrid_traditional,201000127,"{""generated_by"": ""graph_based"", ""step_count"": 17}"
